,0,1,2,3,4,5,6,7,8,9
Prop_to_apo Altitude (km),299.4552557572152,334.2027021048805,369.1662708874568,404.3524952832063,439.7654612676525,475.4084281201121,511.28428691805414,547.3957336060691,583.7453548348007,620.3356830306938
Prop_to_apo Orbit_Period (hr),1.5085496535764968,1.5144227798464343,1.5203392367089368,1.526299688071474,1.5323055897068554,1.5383580696624346,1.5444580304506135,1.5506062376720158,1.5568033845788487,1.5630501177201497
Prop_to_peri Altitude (km),283.36851470585805,283.36851470585805,283.36851470585805,283.36851470585805,283.36851470585805,283.36851470585805,283.36851470585805,283.36851470585805,283.36851470585805,283.36851470585805
Prop_to_peri Orbit_Period (hr),1.5086449353976874,1.5086449353976874,1.5086449353976874,1.5086449353976874,1.5086449353976874,1.5086449353976874,1.5086449353976874,1.5086449353976874,1.5086449353976874,1.5086449353976874
Maneuver DeltaV (m/sec),0.0,10.0,20.0,30.0,40.0,50.0,60.0,70.0,80.0,90.0
